1001011   //float=-0.687500 dec=-11 
0000111   //float=0.437500 dec=7 
1010100   //float=-1.250000 dec=-20 
1101100   //float=-2.750000 dec=-44 
0010111   //float=1.437500 dec=23 
1100011   //float=-2.187500 dec=-35 
1000100   //float=-0.250000 dec=-4 
1101101   //float=-2.812500 dec=-45 
0000110   //float=0.375000 dec=6 
0000001   //float=0.062500 dec=1 
1001110   //float=-0.875000 dec=-14 
0100001   //float=2.062500 dec=33 
1011111   //float=-1.937500 dec=-31 
1000001   //float=-0.062500 dec=-1 
0001001   //float=0.562500 dec=9 
0001000   //float=0.500000 dec=8 
1111011   //float=-3.687500 dec=-59 
0000101   //float=0.312500 dec=5 
0111100   //float=3.750000 dec=60 
0110101   //float=3.312500 dec=53 
1110000   //float=-3.000000 dec=-48 
0111101   //float=3.812500 dec=61 
1010011   //float=-1.187500 dec=-19 
1010010   //float=-1.125000 dec=-18 
0110111   //float=3.437500 dec=55 
1100110   //float=-2.375000 dec=-38 
1100101   //float=-2.312500 dec=-37 
0000001   //float=0.062500 dec=1 
0101111   //float=2.937500 dec=47 
0011111   //float=1.937500 dec=31 
1011110   //float=-1.875000 dec=-30 
0110101   //float=3.312500 dec=53 
0111101   //float=3.812500 dec=61 
1001011   //float=-0.687500 dec=-11 
1000110   //float=-0.375000 dec=-6 
0101001   //float=2.562500 dec=41 
1111011   //float=-3.687500 dec=-59 
1010011   //float=-1.187500 dec=-19 
0001000   //float=0.500000 dec=8 
0110001   //float=3.062500 dec=49 
0111000   //float=3.500000 dec=56 
0110000   //float=3.000000 dec=48 
1011111   //float=-1.937500 dec=-31 
0100001   //float=2.062500 dec=33 
1100000   //float=-2.000000 dec=-32 
1100111   //float=-2.437500 dec=-39 
0100001   //float=2.062500 dec=33 
0011011   //float=1.687500 dec=27 
0010011   //float=1.187500 dec=19 
1100101   //float=-2.312500 dec=-37 
1110110   //float=-3.375000 dec=-54 
1111001   //float=-3.562500 dec=-57 
1000001   //float=-0.062500 dec=-1 
1000011   //float=-0.187500 dec=-3 
1010110   //float=-1.375000 dec=-22 
1010111   //float=-1.437500 dec=-23 
1010111   //float=-1.437500 dec=-23 
1101100   //float=-2.750000 dec=-44 
0001101   //float=0.812500 dec=13 
1011110   //float=-1.875000 dec=-30 
1010110   //float=-1.375000 dec=-22 
1100110   //float=-2.375000 dec=-38 
0000000   //float=0.000000 dec=0 
0111011   //float=3.687500 dec=59 
1010000   //float=-1.000000 dec=-16 
1101110   //float=-2.875000 dec=-46 
0100101   //float=2.312500 dec=37 
1010110   //float=-1.375000 dec=-22 
0110111   //float=3.437500 dec=55 
1111000   //float=-3.500000 dec=-56 
1100010   //float=-2.125000 dec=-34 
0010100   //float=1.250000 dec=20 
0101000   //float=2.500000 dec=40 
0011110   //float=1.875000 dec=30 
0101011   //float=2.687500 dec=43 
1000111   //float=-0.437500 dec=-7 
1011011   //float=-1.687500 dec=-27 
1000100   //float=-0.250000 dec=-4 
1011001   //float=-1.562500 dec=-25 
1101101   //float=-2.812500 dec=-45 
1010100   //float=-1.250000 dec=-20 
0011101   //float=1.812500 dec=29 
1011100   //float=-1.750000 dec=-28 
1111011   //float=-3.687500 dec=-59 
1101001   //float=-2.562500 dec=-41 
1111000   //float=-3.500000 dec=-56 
1101000   //float=-2.500000 dec=-40 
1111101   //float=-3.812500 dec=-61 
0010111   //float=1.437500 dec=23 
